CD_CORRESP_HAB;CD_HAB_ENTRE;CD_HAB_SORTIE;CD_TYPE_RELATION;LB_CONDITION;LB_REMARQUES;VALIDITE;CD_TYPO_ENTRE;CD_TYPO_SORTIE;DATE_CREA;DATE_MODIF
6521;4664;817;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6522;4664;2600;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6523;4664;2604;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6524;4664;2607;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6525;4664;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6526;4664;7174;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6529;4665;802;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6530;4665;2599;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6531;4665;2618;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6532;4665;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6535;4667;975;1;;;true;7;6;2014-06-19 11:25:50;2015-03-25 15:58:40
6536;4667;993;1;;;true;7;32;2014-06-19 11:25:50;2015-03-25 15:58:40
6537;4667;2713;5;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6539;4668;966;5;;;true;7;6;2014-06-19 11:25:50;2015-03-25 15:58:40
6540;4668;994;2;;;true;7;32;2014-06-19 11:25:50;2015-03-25 15:58:40
6541;4668;2713;5;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6543;4669;2597;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6544;4669;2598;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6545;4669;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6546;4669;7167;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6547;4669;7169;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6549;4670;2597;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6550;4670;2598;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6551;4670;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6552;4670;7167;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6553;4670;7169;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6557;4671;966;5;;;true;7;6;2014-06-19 11:25:50;2015-03-25 15:58:40
6558;4671;994;2;;;true;7;32;2014-06-19 11:25:50;2015-03-25 15:58:40
6559;4671;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6561;4672;2597;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6562;4672;2598;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6563;4672;2603;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6564;4672;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6565;4672;7166;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6566;4672;7167;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6567;4672;7169;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6568;4672;7173;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6571;4674;2597;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6572;4674;2598;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6573;4674;2603;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6574;4674;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6575;4674;7166;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6576;4674;7168;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6577;4674;7170;3;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6578;4674;7173;5;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6580;4675;966;5;;;true;7;6;2014-06-19 11:25:50;2015-03-25 15:58:40
6581;4675;994;2;;;true;7;32;2014-06-19 11:25:50;2015-03-25 15:58:40
6582;4675;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6584;4676;2652;1;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6585;4676;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6587;4677;801;1;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6588;4677;2713;5;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6591;4679;995;1;;;true;7;32;2014-06-19 11:25:50;2015-03-25 15:58:40
6592;4679;2653;1;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6593;4679;2771;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6596;4680;2651;1;;;true;7;46;2014-06-19 11:25:50;2015-03-25 15:58:40
6597;4680;2713;2;;;true;7;8;2014-06-19 11:25:50;2015-03-25 15:58:40
6598;4680;3702;5;;;true;7;6;2014-06-19 11:25:50;2015-03-25 15:58:40
