CD_TYPE_REL;LB_TYPE_REL;LB_REL;LB_DEFINITION;CORRESP_HAB;CORRESP_ESP;CORRESP_SYN;DATE_CREA;DATE_MODIF
39;Esp. const.;Espèce constante;Pour EUNIS 2022 : espèces qui sont fréquemment présentes dans l'habitat, mais peuvant inclure des espèces généralistes qui sont également fréquentes dans d'autres habitats.;false;true;false;2022-03-08 00:00:00;2023-03-13 17:15:15
38;Esp. comp.;Espèce compagne;Espèce de présence non négligeable dans un groupement végétal déterminé dont elle n'est ni caractéristique, ni différentielle, croissant donc en général plus ou moins abondamment dans plusieurs groupements (Géhu, 2006).;false;true;false;2021-04-19 00:00:00;2021-11-09 10:56:47
35;Esp. asso.;Espèce associée;Espèce fréquemment rencontrée dans l'habitat sans qu'elle le caractérise.;false;true;false;2016-11-29 00:00:00;2017-01-06 15:19:03
25;Esp. eury.;Espèce euryèce;Espèce présente dans de nombreux types d'habitats sans préférence marquée. L'espèce est relativement indifférente vis-à-vis du type d'habitat (ubiquiste) (Legros et al., 2016).;false;true;false;2015-10-11 14:03:03;2017-01-06 15:19:03
26;Esp. prés.;Espèce présente;Espèce dont la présence est documentée dans l'habitat sans information sur la force de la relation.;false;true;false;2015-10-11 14:03:04;2017-01-06 15:19:03
27;Esp. sélec.;Espèce sélective;Espèce oligoèce démontrant une préférence marquée pour un type d'habitat particulier (Legros et al., 2016).;false;true;false;2015-10-11 14:03:04;2017-01-06 15:19:03
28;Esp. spéc.;Espèce spécialiste;Espèce sténoèce à niche écologique étroite et présente dans un nombre très restreint de types d'habitats (Legros et al., 2016).;false;true;false;2015-10-11 14:03:04;2017-01-06 15:19:03
29;Esp. spéc. strict;Espèce spécialiste strict;Espèce sténoèce inféodée à un seul type d'habitat précis et lié à des conditions particulières (Legros et al., 2016).;false;true;false;2015-10-11 14:03:04;2017-01-06 15:19:03
32;Esp. indic.;Espèce indicatrice;"Pour les Cahiers d'habitats, espèce mentionnée à la rubrique ""Espèces indicatrices du type d'habitat"" dans laquelle sont listées les principales espèces caractéristiques et dominantes de l'habitat.";false;true;false;2015-12-01 00:00:00;2017-01-06 15:19:03
37;Esp. prés. ou oligo;Espèce présente ou espèce oligoèce non-sélective ;Espèce dont la présence est documentée dans l'habitat sans information sur la force de la relation ou espèce présente dans un nombre restreint de types d'habitats sans préférence marquée pour l'un d'entre eux (Legros et al., 2016).;false;true;false;2017-01-06 14:27:22;2017-01-06 15:19:03
1;=;Strictement équivalent;L'unité en entrée correspond strictement à l'unité en sortie.;true;false;true;2014-04-29 00:00:00;2022-03-08 16:24:21
2;<;Habitat en entrée est inclus dans l'autre;"L'unité en entrée est incluse dans l'unité en sortie ; ou l'unité en entrée correspond à une partie de l'unité en sortie.";true;false;false;2014-04-29 00:00:00;2022-03-08 16:27:40
3;>;Habitat en entrée contient l'autre;"L'unité en entrée inclut l'unité en sortie ; ou l'unité en sortie correspond à une partie de l'unité en entrée.";true;false;false;2014-04-29 00:00:00;2022-03-08 16:28:15
4;?;Inconnue;Type de relation à préciser.;true;false;true;2014-04-29 00:00:00;2022-03-08 16:04:21
5;#;Chevauchement;Une partie de l'unité en entrée correspond à une partie de l'unité en sortie.;true;false;false;2014-04-29 00:00:00;2021-04-16 10:56:00
6;(#);Chevauchement spécial;Une partie de l'unité en entrée ne correspond à aucune unité en sortie.;true;false;false;2014-04-29 00:00:00;2023-03-22 14:24:55
8;Nom correct;Nom correct;Terme synonyme de « nom valide », c'est-à-dire : nom de syntaxon répondant à toutes les exigences du Code de nomenclature phytosociologique (Géhu, 2006).;false;false;true;2014-04-29 11:32:07;2017-01-06 15:19:03
10;Syn. nomencl.;Synonyme nomenclatural;Les synonymes nomenclaturaux sont fondés sur le même type nomenclatural (Géhu, 2006).;false;false;true;2014-04-29 11:32:07;2017-01-06 15:19:03
11;Syn.;Synonyme;Type de « synonymie » donné par défaut lorsque le type de synonyme (nomenclatural ou syntaxonomique) n'est pas précisé dans la typologie.;false;false;true;2014-04-29 00:00:00;2022-03-08 16:30:08
12;Syn. syntax.;Synonyme syntaxonomique;Les synonymes syntaxonomiques sont fondés sur des types nomenclaturaux différents, mais considérés appartenir à un même syntaxon (Géhu, 2006).;false;false;true;2014-04-29 00:00:00;2023-03-13 17:07:12
15;Corresp.;Nom correspondant;Nom de syntaxon de rang différent, mais qui a le même contenu syntaxonomique (Géhu, 2006).;false;false;true;2014-04-29 00:00:00;2017-01-06 15:19:03
16;Propos.;Proposition nomenclaturale;Proposition nomenclaturale à la Commision de nomenclature phytosociologique.;false;false;true;2014-04-29 00:00:00;2017-01-06 15:19:03
19;Esp. caract.;Espèce caractéristique;"Une espèce est considérée comme caractéristique lorsqu'elle est exclusive ou préférentielle d'un biotope considéré, qu'elle soit abondamment représentée ou non, sporadique ou non (PNUE et al., 2007).
Pour EUNIS : espèce mentionnée comme caractérisant l'habitat dans le descriptif de l'habitat.
Pour les typologies phytosociologiques : espèce dont la fréquence est significativement plus élevée dans un groupement végétal qu'elle contribue à caractériser, que dans les autres groupements de même niveau hiérarchique (Géhu, 2006).";false;true;false;2014-04-29 00:00:00;2021-10-20 10:46:21
20;Esp. diagn.;Espèce diagnostique;"Pour EUNIS 2012 : espèce mentionnée comme diagnostique pour une question d'une clé de détermination des habitats EUNIS.
Pour EUNIS 2022 : espèces dont les occurrences sont concentrées dans l'habitat et qui sont absentes ou rares dans d'autres habitats.
Pour les typologies phytosociologiques : pour les unités supérieures à l'association végétale, espèce dont la fréquence relative moyenne (FRM) pour le syntaxon considéré est supérieure à 10% (Felzines, 2016).";false;true;false;2014-04-29 00:00:00;2022-11-07 16:46:14
21;Esp. dom.;Espèce dominante;"Espèce constituant une part prépondérante de la totalité des populations présentes dans un peuplement ou une communauté (Ramade, 2008). Pour une espèce végétale : qualifie une espèce dont les individus possèdent un recouvrement très important dans une strate, ou encore une essence d'arbre prédominante  dans un peuplement (Géhu, 2006).
Pour EUNIS 2022 : espèces dominantes qui atteignent souvent un recouvrement élevé dans l'habitat, déterminant ainsi sa physionomie.";false;true;false;2014-04-29 00:00:00;2022-11-07 16:48:13
22;Esp. diff.;Espèce différentielle;Espèce qui, sans être caractéristique, se cantonne préférentiellement dans l'une de deux ou plusieurs associations ou sous‐associations affines (Géhu, 2006).;false;true;false;2014-04-29 00:00:00;2017-01-06 15:19:03
23;Comb. caract.;Combinaison caractéristique;Ensemble des espèces caractéristiques et des compagnes de haute fréquence.;false;true;false;2014-04-29 11:32:07;2017-01-06 15:19:03
24;NC;Pas de correspondance;L'unité en entrée ne correspond à aucune unité en sortie.;true;false;false;2014-06-27 15:12:48;2017-01-06 15:19:03
50;(=);Peut être strictement équivalent, sous conditions;L'unité en entrée peut correspondre strictement à l'unité en sortie sous conditions.;true;false;true;2022-03-08 00:00:00;2023-03-13 17:01:21
52;(>);Habitat en entrée peut contenir l'autre, sous conditions;"L'unité en entrée peut inclure l'unité en sortie sous conditions ; ou l'unité en sortie peut correspondre à une partie de l'unité en entrée sous conditions.";true;false;false;2022-03-08 00:00:00;2023-03-13 17:07:09
53;(#);Chevauchement possible, sous conditions;Une partie de l'unité en entrée peut correspondre à une partie de l'unité en sortie sous conditions.;true;false;false;2022-03-08 00:00:00;2023-03-13 17:00:54
51;(<);Habitat en entrée peut être inclus dans l'autre, sous conditions;"L'unité en entrée peut être incluse dans l'unité en sortie sous conditions; ou l'unité en entrée peut correspondre à une partie de l'unité en sortie sous conditions.
";true;false;false;2022-03-08 00:00:00;2023-03-13 17:01:44
46;Esp. struct.;Espèce structurante;Espèce visuellement dominante, ingénieure ou faisant office/tenant lieu de biotope pour d'autres espèces.;false;true;false;2022-03-08 00:00:00;2023-03-13 17:13:50
