CD_HAB_FIELD;CD_TYPO;LB_HAB_FIELD;FORMAT_HAB_FIELD;DESCRIPT_HAB_FIELD;ORDRE_HAB_FIELD;LENGTH_HAB_FIELD;LB_LABEL;DATE_CREA;DATE_MODIF
80;22;NIVEAU;NUMBER;Niveau du code CORINE Biotopes correspondant à son nombre de chiffres/lettres, de 1 à 8 (le . marquant la décimale n'est pas pris en compte).;9;22;Niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
81;22;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;255;Intitulé du niveau;2014-06-19 11:12:45;2023-04-04 12:35:11
82;22;FRANCE;VARCHAR2;Présence de l'habitat en France.;13;5;Présence en France;2014-06-19 11:12:45;2023-04-04 12:35:11
83;22;LB_HAB_FR;VARCHAR2;Intitulé de l'habitat selon la version en français de 1997 ou traduction nouvelle dans le cas de codes non retenus dans cette version mais présents en France.;5;255;Nom en français (1997);2014-06-19 11:12:45;2023-04-04 12:35:11
84;22;LB_HAB_EN;VARCHAR2;Intitulé de l'habitat en anglais selon la version de 1991.;7;255;Nom en anglais (1991);2014-06-19 11:12:45;2023-04-04 12:35:11
85;22;CRSP_PHYTO_CB91;VARCHAR2;"Correspondances phytosociologiques de l&#39;habitat selon la version de 1991.";21;4000;Correspondances phytosociologiques;2014-06-19 00:00:00;2023-04-04 12:35:11
86;22;LB_DESCRIPTION;VARCHAR2;"Descriptif de l&#39;habitat en anglais selon la version de 1991.";14;4000;Descriptif officiel;2014-06-19 00:00:00;2023-04-04 12:35:11
441;45;FG_VALIDITE;VARCHAR2;Validité du nom de l'habitat (nom de référence / synonyme).;2;20;Validité;2014-06-19 13:23:53;2023-04-04 12:35:11
363;26;FG_VALIDITE;VARCHAR2;Validité du nom de l'habitat (nom de référence / synonyme).;2;20;Validité;2014-06-19 13:23:53;2023-04-04 12:35:11
535;78;CD_HAB;NUMBER;"Identifiant unique de l&#39;habitat. Non supprimable, et non réutilisable.";1;8;Identifiant HabRef de l'unité;2016-08-24 00:00:00;2023-04-04 12:35:11
536;78;FG_VALIDITE;VARCHAR2;"Validité du nom de l&#39;habitat (nom de référence / synonyme).";2;20;Validité;2016-08-24 00:00:00;2023-04-04 12:35:11
111;26;LB_CODE;VARCHAR2;Code habitat à 3 lettre et à 1 ou 2 chiffres.;4;20;Code;2014-06-19 00:00:00;2023-04-04 12:35:11
112;26;CD_HAB_SUP;VARCHAR2;Code de l'habitat parent (supérieur);11;20;Identifiant HabRef du parent;2014-06-19 00:00:00;2023-04-04 12:35:11
113;26;NIVEAU;VARCHAR2;Niveau hiérarchique de l'unité;9;10;Niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
114;26;CD_HAB_ZNIEFF97;VARCHAR2;Code habitat dans Guillaume (1997);31;20;Code dans Guillaume (1997);2014-06-19 00:00:00;2023-04-04 12:35:11
115;26;NIVEAU_ZNIEFF97;VARCHAR2;"Niveau de l&#39;habitat dans Guillaume (1997)";32;20;Niveau dans Guillaume (1997);2014-06-19 00:00:00;2023-04-04 12:35:11
116;26;LB_NIVEAU;VARCHAR2;Intitulé du niveau.;10;20;Intitulé du niveau;2014-06-19 00:00:00;2023-04-04 12:35:11
117;26;FRANCE;BOOLEAN;Indication de la présence en France;13;10;Présence en France;2014-06-19 00:00:00;2023-04-04 12:35:11
118;26;LB_HAB_FR;VARCHAR2;Libellé de l'unité en français;5;100;Libellé;2014-06-19 00:00:00;2023-04-04 12:35:11
119;26;LB_HAB_EN;VARCHAR2;Libellé en anglais;7;20;Libellé en anglais;2014-06-19 00:00:00;2023-04-04 12:35:11
120;26;SALINITE;VARCHAR2;Niveau de salinité rencontré dans l'habitat;18;50;Salinité;2014-06-19 00:00:00;2023-04-04 12:35:11
121;26;EXPOSITION_AUX_VAGUES;VARCHAR2;Type d'exposition aux vagues pour lequel l'habitat est rencontré;21;50;Exposition aux vagues;2014-06-19 00:00:00;2023-04-04 12:35:11
122;26;COURANT_DE_MAREE;VARCHAR2;Type de courants de marée pour lequel l'habitat est rencontré;22;50;Type de courants de marée;2014-06-19 00:00:00;2023-04-04 12:35:11
123;26;SUBSTRAT;VARCHAR2;Substrat rencontré dans l'habitat;16;100;Substrat;2014-06-19 00:00:00;2023-04-04 12:35:11
124;26;GRANULOMETRIE;VARCHAR2;Granulométrie rencontrée dans l'habitat;17;200;Granulométrie;2014-06-19 00:00:00;2023-04-04 12:35:11
125;26;ETAGEMENT;VARCHAR2;Etage dans lequel se rencontre l'habitat;15;50;Etage;2014-06-19 00:00:00;2023-04-04 12:35:11
