CD_NOM;Nom scientifique;code_CATMINAT
80086;Acorus calamus L., 1753;05/3.0.2
81260;Alisma gramineum Lej., 1811;04/3.0.2.0.1
81263;Alisma lanceolatum With., 1796;05/3.0.2.0.1
81272;Alisma plantago-aquatica L., 1753;05/3.0.2
85486;Baldellia ranunculoides (L.) Parl., 1854;04/3.0.1
718909;Baldellia repens (Lam.) Ooststr., 1959;04/3.0.1
718211;Baldellia repens subsp. cavanillesii (Molina Abril, A.Galán, Pizarro & Sard.Rosc.) Talavera, 2008;04/3.0.1
87417;Caldesia parnassifolia (L.) Parl., 1860;05/3.0.2.0.1
94388;Damasonium alisma Mill., 1768;04/5.0.1
94392;Damasonium polyspermum Coss., 1849;04/5.0.2.0.1
106807;Luronium natans (L.) Raf., 1840;03/2.0.2.0.2
119850;Sagittaria graminea Michx., 1803;05/3.0.2
119854;Sagittaria latifolia Willd., 1805;05/3.0.2
119860;Sagittaria sagittifolia L., 1753;05/3.0.2
83232;Aponogeton distachyos L.f., 1782;03/2.0.1.0.1
84100;Arum cylindraceum Gasp., 1844;13/31.0.1.0.2
84110;Arum italicum Mill., 1768;10/3.0.1
84112;Arum maculatum L., 1753;10/3.0.1
84120;Arum pictum L.f., 1782;10/6.0.3.0.5
95425;Dracunculus vulgaris Schott, 1832;13/31.0.1.0.2
101107;Helicodiceros muscivorus (L.f.) Engl., 1879;13/31.0.1.0.1
82095;Ambrosina bassii L., 1764;10/6.0.3.0.4
83755;Arisarum vulgare O.Targ.Tozz., 1810;10/6.0.3
87450;Calla palustris L., 1753;05/3.0.5.0.1
447733;Pistia stratiotes L., 1753;03/2.0.1.0.1
130605;Zantedeschia aethiopica (L.) Spreng., 1826;05/3.0.2
105423;Lemna aequinoctialis Welw., 1859;03/1.0.1.0.1
105427;Lemna gibba L., 1753;03/1.0.1.0.1
105431;Lemna minor L., 1753;03/1.
105433;Lemna minuta Kunth, 1816;03/1.
105437;Lemna perpusilla Torr., 1843;03/1.0.1.0.1
105441;Lemna trisulca L., 1753;03/1.0.2.0.1
105442;Lemna turionifera Landolt, 1975;03/1.0.1.0.1
124707;Spirodela polyrhiza (L.) Schleid., 1839;03/1.
130119;Wolffia arrhiza (L.) Horkel ex Wimm., 1857;03/1.0.1.0.1
610602;Lysichiton americanus Hultén & H.St.John, 1931;10/3.0.1
87136;Butomus umbellatus L., 1753;05/3.0.2.0.1
93774;Cymodocea nodosa (Ucria) Asch., 1869;01/A12.0.1.0.2
95823;Egeria densa Planch., 1849;03/2.0.2
95979;Elodea callitrichoides (Rich.) Casp., 1857;03/2.0.2
95980;Elodea canadensis Michx., 1803;03/2.0.2
95983;Elodea nuttallii (Planch.) H.St.John, 1920;03/2.0.2
104805;Lagarosiphon major (Ridl.) Moss, 1928;03/2.0.2
109203;Najas flexilis Rostk. & W.L.E.Schmidt, 1824;03/4.0.1.0.2
109207;Najas gracillima (A.Braun ex Engelm.) Magnus, 1870;03/4.0.1.0.2
109208;Najas graminea Delile, 1813;03/4.0.1.0.2
109213;Najas marina L., 1753;03/4.0.1.0.2
137968;Najas marina subsp. marina L., 1753;03/4.0.1.0.2
137965;Najas marina subsp. armata (H.Lindb.) Horn, 1952;03/4.0.1.0.2
137966;Najas marina subsp. intermedia (Wolfg. ex Gorski) Casper, 1979;03/4.0.1.0.2
109215;Najas minor All., 1773;03/4.0.1.0.2
128504;Vallisneria spiralis L., 1753;03/2.0.1.0.1
103120;Hydrocharis morsus-ranae L., 1753;03/1.0.1.0.2
125219;Stratiotes aloides L., 1753;03/2.0.1.0.1
127537;Triglochin barrelieri Loisel., 1807;02/10.0.1.0.1
127545;Triglochin laxiflora Guss., 1825;04/4.0.1.0.1
127546;Triglochin maritima L., 1753;02/7.0.3
127547;Triglochin palustris L., 1753;06/1.1.2
115222;Posidonia oceanica (L.) Delile, 1813;01/A11.
81869;Althenia filiformis Petit, 1829;03/4.0.1.0.1
131262;Althenia filiformis subsp. filiformis Petit, 1829;03/4.0.1.0.1
100584;Groenlandia densa (L.) Fourr., 1869;03/2.0.2
115226;Potamogeton acutifolius Link, 1818;03/4.0.1.0.1
115228;Potamogeton alpinus Balb., 1804;03/2.0.2.0.1
115233;Potamogeton berchtoldii Fieber, 1838;03/4.0.1.0.1
115237;Potamogeton coloratus Hornem., 1813;03/2.0.1.0.2
115240;Potamogeton compressus L., 1753;03/4.0.1.0.1
115245;Potamogeton crispus L., 1753;03/2.0.1.0.1
115256;Potamogeton friesii Rupr., 1845;03/4.0.1.0.1
115258;Potamogeton gramineus L., 1753;03/2.0.2.0.1
115337;Potamogeton x bennettii Fryer, 1895;03/2.0.1.0.1
115342;Potamogeton x cooperi (Fryer) Fryer, 1897;03/2.0.1.0.1
115348;Potamogeton x fluitans Roth, 1788;03/2.0.2.0.4
115363;Potamogeton x nitens Weber, 1787;03/2.0.2.0.1
115371;Potamogeton x salicifolius Wolfg., 1827;03/2.0.1.0.1
115374;Potamogeton x sparganiifolius Laest. ex Fr., 1832;03/2.0.2.0.1
115376;Potamogeton x spathulatus Schrad., 1814;03/2.0.2.0.2
115382;Potamogeton x variifolius Thore, 1803;03/2.0.1.0.1
115384;Potamogeton x zizii W.D.J.Koch ex Roth, 1827;03/2.0.2.0.1
115270;Potamogeton lucens L., 1753;03/2.0.1.0.1
115280;Potamogeton natans L., 1753;03/2.0.1.0.1
115282;Potamogeton nodosus Poir., 1816;03/2.0.2.0.4
115286;Potamogeton obtusifolius Mert. & W.D.J.Koch, 1823;03/4.0.1.0.1
115296;Potamogeton perfoliatus L., 1753;03/2.0.1.0.1
115301;Potamogeton polygonifolius Pourr., 1788;03/2.0.2.0.2
115302;Potamogeton praelongus Wulfen, 1805;03/2.0.1.0.1
115305;Potamogeton pusillus L., 1753;03/4.0.1.0.1
115310;Potamogeton rutilus Wolfg., 1827;03/4.0.1.0.1
115326;Potamogeton trichoides Cham. & Schltdl., 1827;03/4.0.1.0.1
717572;Stuckenia filiformis (Pers.) Börner, 1912;03/2.0.2.0.1
717574;Stuckenia pectinata (L.) Börner, 1912;03/2.
130598;Zannichellia obtusifolia Talavera, García-Mur. & H.Smit, 1986;03/4.0.1.0.1
130599;Zannichellia palustris L., 1753;03/4.0.1.0.1
130601;Zannichellia pedunculata Rchb., 1829;03/4.0.1.0.1
130602;Zannichellia peltata Bertol., 1855;03/4.0.1.0.1
119688;Ruppia cirrhosa (Petagna) Grande, 1918;03/2.0.3.0.1
119691;Ruppia maritima L., 1753;03/2.0.3.0.1
121500;Scheuchzeria palustris L., 1753;06/1.3.2
126798;Tofieldia calyculata (L.) Wahlenb., 1812;06/1.1.2.0.1
126806;Tofieldia pusilla (Michx.) Pers., 1805;06/1.2.2
130673;Zostera marina L., 1753;01/A10.
621060;Zostera marina var. angustifolia Hornem., 1820;01/A10.0.1.0.1
108739;Molopospermum peloponnesiacum (L.) W.D.J.Koch, 1824;05/1.0.2.0.1
137873;Molopospermum peloponnesiacum subsp. peloponnesiacum (L.) W.D.J.Koch, 1824;05/1.0.2.0.1
82130;Ammi majus L., 1753;13/3.0.2
82692;Anethum graveolens L., 1753;13/4.0.2
83195;Apium graveolens L., 1753;12/1.2.2
