rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;ORDRE_(-ales);FAMILLE_(-aceae);numSpA;numSpB;numSpH;nomA;nomB;nomH
esp;7251;73259;01/A10.;Zostera marina L.;circumboréal;épi simple;monoïque;protogyne;hydrogame;akène;hydrochore;vert;;6-9;;;Grhi-aqua;hémicryptophytaie;herbiers marins phanérogamiques, holarctiques, tempérés froids à modal;Zosteretea marinae Pignatti 1953;;;;;6;6;1;9;12;9;7;9;5;1;x;6;2;12;7;6;8;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;;Alismatales;Zosteraceae;0;0;4479;;;Zostera marina
esp;7252;121884;01/A10.0.1;Nanozostera noltei (Hornem.) Toml. & Posl.;méditerranéen-atlantique;épi simple;monoïque;protogyne;hydrogame;akène;hydrochore;vert;;6-9;;;grhi-aqua;hémicryptophytaie;herbiers marins phanérogamiques européens;Zosteretalia marinae Béguinot 1941 em. Tüxen & Oberdorfer 1958;;;;;7;6;1;9;11;9;7;8;1;3;7;6;2;12;7;5;8;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;;Alismatales;Zosteraceae;0;0;4480;;;Zostera noltii
var;7776;81665;01/A10.0.1.0.1;Zostera marina var. angustifolia Hornem.;atlantique;épi simple;monoïque;protogyne;hydrogame;akène;hydrochore;vert;;;;;Grhi-aqua;hémicryptophytaie;herbiers marins phanérogamiques, psychrophiles;Zosterion marinae Christiansen 1934;;;;;7;5;1;9;12;9;7;8;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;;Alismatales;Zosteraceae;0;0;10001;;;Zostera angustifolia
esp;7218;52120;01/A11.;Posidonia oceanica (L.) Delile;méditerranéen;épi simple;hermaphrodite;;hydrogame;akène;hydrochore;vert;;10-6;;;Grhi-aqua;hémicryptophytaie;herbiers marins phanérogamiques, thermophiles du zonobiome tempéré chaud méditerranéen;Posidonietea oceanicae Den Hartog 1976;;;;;7;8;1;9;12;9;7;9;5;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;;Alismatales;Posidoniaceae;0;0;10003;;;Posidonia oceanica
esp;7216;20515;01/A12.0.1.0.2;Cymodocea nodosa (Ucria) Asch.;méditerranéen-atlantique;épi simple;dioïque;;hydrogame;akène;hydrochore;vert;;4-10;;;Grhi-aqua;hémicryptophytaie;herbiers marins paléotropicaux;Cymodoceion nodosae Den Hartog 1976;;;;;7;8;1;9;12;9;7;9;5;1;;;;;;;;Magnoliopsida;Magnoliidae;Monocots;Lilianae;;;;Alismatales;Cymodoceaceae;0;0;10002;;;Cymodocea nodosa
esp;1572;11756;02/1.;Cakile maritima Scop. ;méditerranéen-atlantique;racème simple;hermaphrodite;homogame;entomogame, autogame;silique;anémochore;blanc, rose;;5-10;;;test;thérophytaie;annuelles eutrophiles, estivales, des laisses de mer européennes;Cakiletea maritimae Tüxen & Preising in Tüxen 1950;;;;;9;8;1;8;6;7;7;7;4;1;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;Rosids;Malvids;Brassicales;Brassicaceae;0;0;7447;;;Cakile maritima
subsp;1771;55555;02/1.;Raphanus raphanistrum subsp. landra (Moretti ex DC.) Bonnier & Layens;méditerranéen-atlantique;racème simple;hermaphrodite;;entomogame;silique;barochore;jaune;;;;;test;thérophytaie;annuelles eutrophiles, estivales, des laisses de mer européennes;Cakiletea maritimae Tüxen & Preising in Tüxen 1950;;;;;8;7;1;8;6;7;8;8;4;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;Rosids;Malvids;Brassicales;Brassicaceae;0;0;10005;;;Raphanus rap. landra
esp;2382;60074;02/1.;Salsola kali L.;européen;épi de cymes triflores;hermaphrodite;;anémogame;akène;anémochore;vert;;;;;test;thérophytaie;annuelles eutrophiles, estivales, des laisses de mer européennes;Cakiletea maritimae Tüxen & Preising in Tüxen 1950;;;;;9;7;1;7;5;8;7;7;4;1;9;7;x;x=;7;8;6;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;926;;;Salsola kali
esp;2309;8399;02/1.;Atriplex laciniata L.;méditerranéen-atlantique;épi de cymes triflores;monoïque;;autogame, entomogame;akène;anémochore;vert;;7-10;;;test;thérophytaie;annuelles eutrophiles, estivales, des laisses de mer européennes;Cakiletea maritimae Tüxen & Preising in Tüxen 1950;;;;;9;6;1;7;5;8;7;7;5;1;9;6;x;7=;7;8;2;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;4090;;;Atriplex laciniata
esp;2310;8404;02/1.0.1.0.1;Atriplex littoralis L.;circumboréal;épi de cymes triflores;monoïque;;autogame, entomogame;akène;épizoochore;vert;;7-9;;;test;thérophytaie;annuelles eutrophiles des laisses de mer vasicoles, européo-atlantiques;Atriplicion littoralis (Nordhagen 1940) Tüxen 1950;;;;;9;5;1;8;6;7;8;8;4;1;9;6;x;x=;x;9;7;Magnoliopsida;Magnoliidae;Eudicots;Caryophyllanae;Superasterids;;;Caryophyllales;Amaranthaceae;0;0;4091;;;Atriplex littoralis
