CD_NOM;Nom scientifique;Indicatrice ZH
187079;Plantae Haeckel, 1866;-
524113;Biliphyta ;-
524720;Charophyta Caval.-Sm.;-
187102;Charophyceae Rabenh., 1863;-
187103;Charales Dumort., 1829;-
187104;Characeae Gray, 1821;-
835328;Chareae ;-
190639;Chara L., 1753;-
73532;Chara aculeolata Kütz., 1843;-
73534;Chara aspera f. asperula Thur.;-
73538;Chara aspera var. marina Migula;-
73533;Chara aspera Willd., 1809;-
73540;Chara asperula var. capillata A. Braun;-
73541;Chara baltica A.Bruzelius, 1824;-
73542;Chara braunii C.C.Gmelin, 1826;-
73544;Chara canescens var. spinossissima Migula;-
73543;Chara canescens Loiseleur, 1810;-
931970;Chara chrysospora J.Groves & Stephens, 1926;-
73545;Chara connivens P.Salzmann ex A.Braun, 1835;-
73546;Chara contraria A.Braun ex Kütz., 1845;-
627575;Chara curta E.F.Nolte ex Kütz., 1857;-
792914;Chara denudata A.Braun, 1843;-
931971;Chara fibrosa C.Agardh ex Bruzelius, 1824;-
931972;Chara fibrosa subsp. benthamii (A.Braun) Zaneveld, 1940;-
670172;Chara foliolosa Mühl. ex Willd., 1805;-
73555;Chara fragifera Durieu, 1859;-
73557;Chara galioides A.P.De Candolle, 1813;-
73558;Chara globularis J.L.Thuiller, 1799;-
73560;Chara hispida L., 1753;-
852027;Chara horrida Wahlst., 1862;-
648707;Chara imperfecta A.Braun, 1850;-
648708;Chara muscosa J.Groves & Bull.-Webst., 1924;-
931974;Chara papillosa Kütz., 1834;-
850829;Chara sabauda Hy, 1913;-
648710;Chara strigosa A.Braun, 1847;-
932015;Chara strigosa var. longispina A.Braun;-
931975;Chara subspinosa Rupr., 1846;-
648711;Chara tomentosa L., 1753;-
627092;Chara virgata Kütz., 1834;-
73574;Chara vulgaris L., 1753;-
931968;Chara vulgaris f. subhispida Mig., 1897;-
73576;Chara vulgaris var. crassicaulis (Schleich. ex A.Braun) Kütz., 1849;-
676656;Chara vulgaris var. gymnophylla (A.Braun) C.F.Nyman, 1884;-
73577;Chara vulgaris var. longibracteata (Kütz.) J.Groves & Bullock-Webster, 1924;-
932697;Chara vulgaris var. oedophylla (G.Feldmann) R.D.Wood, 1962;-
193838;Lamprothamnium J.Groves, 1916;-
73093;Lamprothamnium papulosum (K.Wallroth) J.Groves, 1916;-
627630;Lamprothamnium papulosum f. aragonense (Reyes-Prósper) R.D.Wood, 1962;-
650791;Lamprothamnium papulosum f. pouzolsii (J.Gay ex A.Braun) R.D.Wood, 1962;-
627620;Lamprothamnium papulosum var. hansenii (C. Sonder) J.C. van Raam, 2010;-
627619;Lamprothamnium papulosum var. toletanum (Prósper) R.D.Wood, 1962;-
650843;Lychnothamnus (Rupr.) A.Braun, 1856;-
650844;Lychnothamnus barbatus (L.Meyen) Leonh., 1863;-
650846;Lychnothamnus barbatus f. spinosus (G.B.Amici) R.D.Wood, 1965;-
195232;Nitella C.Agardh, 1824;-
74335;Nitella capillaris (A.J.Krocker) J.Groves & Bull.-Webst., 1920;-
74337;Nitella chevallierii Hy, 1892;-
74338;Nitella confervacea (Bréb.) A.Braun ex Leonh., 1863;-
74339;Nitella flexilis (L.) C.Agardh, 1824;-
627577;Nitella gracilis (Sm.) C.Agardh, 1824;-
931986;Nitella gracilis f. motelayana Hy, 1913;-
627574;Nitella hyalina (DC.) C.Agardh, 1824;-
627655;Nitella hyalina f. maxima A.Braun ex Migula, 1897;-
627578;Nitella mucronata (A.Braun) Miq., 1840;-
694614;Nitella mucronata f. heteromorpha A.Braun, 1847;-
694611;Nitella mucronata f. tenuior (A.Braun) Feldmann, 1946;-
627654;Nitella mucronata var. brachyteles (A.Braun) J.C.van Raam, 2010;-
74346;Nitella opaca (C.Agardh ex Bruzelius) C.Agardh, 1824;-
74347;Nitella ornithopoda A.Braun, 1863;-
932012;Nitella syncarpa (Thuillier) Chevallier, 1827;-
74350;Nitella syncarpa var. thuilleri A. Br.;-
627579;Nitella tenuissima (Desv.) Kützing, 1843;-
74352;Nitella tenuissima var. minor A. Br.;-
74353;Nitella translucens (Pers.) C.Agardh, 1824;-
195233;Nitellopsis Hy, 1889;-
74355;Nitellopsis obtusa (Desv.) J.Groves, 1919;-
198485;Tolypella (A.Braun) A.Braun, 1857;-
75093;Tolypella glomerata (Desv.) Leonh., 1863;-
75094;Tolypella hispanica Nordst. ex T.F.Allen, 1888;-
75095;Tolypella intricata (Trentep. ex Roth) Leonh., 1863;-
627563;Tolypella nidifica (O.F.Müll.) Leonh., 1864;-
75096;Tolypella prolifera (Ziz ex A.Braun) Leonh., 1863;-
75097;Tolypella salina R.Corillion, 1960;-
914309;Coleochaetophyceae ;-
626250;Coleochaetales ;-
626251;Coleochaetaceae ;-
191025;Coleochaete Bréb., 1844;-
648840;Coleochaete leve (Bailey) Sarma & Chapman, 1975;-
648841;Coleochaete orbicularis Pringsheim, 1860;-
653400;Coleochaete pulvinata A.Braun, 1849;-
73755;Coleochaete scutata Breb.;-
648842;Coleochaete soluta (Bréb.) Pringsheim, 1860;-
699647;Conjugatophyceae Engler;-
646931;Desmidiales ;-
699646;Closteriaceae Bessey, 1907;-
190949;Closterium Nitzsch ex Ralfs, 1848;-
73045;Closterium abruptum W. West;-
648764;Closterium abruptum var. maius (Huber-Pestalozzi) Willi Krieg. in Rabenh., 1935;-
73046;Closterium acerosum Ehrenberg ex Ralfs, 1848;-
648767;Closterium acerosum var. borgei Krieger, 1935;-
73047;Closterium acerosum var. elongatum Brebisson;-
73048;Closterium acerosum var. minus Hantzsch;-
625893;Closterium aciculare T.West, 1860;-
648768;Closterium aciculare var. robustius Chodat, 1898;-
73050;Closterium acutum Bréb., 1848;-
653289;Closterium acutum var. latius Grönblad, 1935;-
648772;Closterium acutum var. linea (Perty) West & G.S.West, 1900;-
625894;Closterium acutum var. variabile (Lemmerm.) Willi Kreiger, 1935;-
73051;Closterium angustatum Kütz. ex Ralfs, 1848;-
648773;Closterium angustatum var. gracilius Croasdale, 1955;-
648774;Closterium angustatum var. sculptum (Racib.) Ruzicka, 1977;-
73052;Closterium archerianum Cleve;-
648775;Closterium archerianum var. compressum G.A.Klebs, 1879;-
648776;Closterium archerianum var. pseudocynthia Ruzicka, 1973;-
73053;Closterium attenuatum Ehrenb.;-
73054;Closterium baillyanum (Bréb. ex Ralfs) Brébisson, 1856;-
73055;Closterium baillyanum var. alpinum (Viret) Gronblad;-
648777;Closterium baillyanum var. multinucleatum (Nordst.) Grönblad, 1919;-
625895;Closterium braunii Reinsch, 1867;-
73056;Closterium calosporum Wittr.;-
648780;Closterium calosporum var. brasiliense Børgesen, 1890;-
