CD_HAB,LB_CODE,LB_HAB_FR,LB_NOM,CD_NOM
3558,NA,Sphagnetalia magellanici,Dicranum undulatum,436308
3558,NA,Sphagnetalia magellanici,Andromeda polifolia,82420
3558,NA,Sphagnetalia magellanici,Vaccinium uliginosum,128354
3558,NA,Sphagnetalia magellanici,Vaccinium uliginosum subsp. uliginosum,142048
3558,NA,Sphagnetalia magellanici,Vaccinium vitis-idaea,128355
3558,NA,Sphagnetalia magellanici,Calypogeia sphagnicola,6640
3558,NA,Sphagnetalia magellanici,Carex pauciflora,88762
3558,NA,Sphagnetalia magellanici,Sphagnum fuscum,6750
3559,NA,Polygono arenastri-Poetalia annuae,Matricaria discoidea,107446
3559,NA,Polygono arenastri-Poetalia annuae,Capsella bursa-pastoris,87849
3559,NA,Polygono arenastri-Poetalia annuae,Lepidium ruderale,105671
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Amaranthus deflexus,81978
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Polycarpon tetraphyllum,114517
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Polycarpon tetraphyllum subsp. tetraphyllum,139033
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Sagina apetala,119780
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Portulaca oleracea,115215
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Euphorbia maculata,97571
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Hordeum murinum,102974
3560,NA,Sagino apetalae-Polycarpetalia tetraphylli,Hordeum murinum subsp. leporinum,136672
3561,NA,Lemnetalia minoris,Spirodela polyrhiza,124707
3561,NA,Lemnetalia minoris,Azolla filiculoides,85469
3562,NA,Hydrocharitetalia,Hydrocharis morsus-ranae,103120
3562,NA,Hydrocharitetalia,Ceratophyllum demersum,90208
3562,NA,Hydrocharitetalia,Utricularia vulgaris,128322
3563,NA,Eleocharitetalia multicaulis,Eleocharis multicaulis,95916
3563,NA,Eleocharitetalia multicaulis,Juncus heterophyllus,104208
3563,NA,Eleocharitetalia multicaulis,Ranunculus flammula,117025
3564,NA,Littorelletalia uniflorae,Ranunculus flammula,117025
3564,NA,Littorelletalia uniflorae,Ranunculus flammula var. ovalis,718763
3565,NA,Adenostyletalia alliariae,Myrrhis odorata,109161
3565,NA,Adenostyletalia alliariae,Imperatoria ostruthium,103578
3565,NA,Adenostyletalia alliariae,Cirsium erisithales,91328
3565,NA,Adenostyletalia alliariae,Pedicularis foliosa,112577
3565,NA,Adenostyletalia alliariae,Athyrium filix-femina,84999
3565,NA,Adenostyletalia alliariae,Aconitum lycoctonum,80034
3565,NA,Adenostyletalia alliariae,Aconitum lycoctonum subsp. vulparia,998925
3565,NA,Adenostyletalia alliariae,Aconitum napellus,80037
3566,NA,Nardetalia strictae,Centaurea nigra,89653
3566,NA,Nardetalia strictae,Hypochaeris radicata,103375
3566,NA,Nardetalia strictae,Rumex acetosella,119419
3566,NA,Nardetalia strictae,Calluna vulgaris,87501
3566,NA,Nardetalia strictae,Polygala serpyllifolia,114589
3566,NA,Nardetalia strictae,Galium saxatile,99529
3566,NA,Nardetalia strictae,Veronica officinalis,128938
3566,NA,Nardetalia strictae,Carex pilulifera,88775
3566,NA,Nardetalia strictae,Danthonia decumbens,94402
3566,NA,Nardetalia strictae,Festuca filiformis,98228
3567,NA,Festucetalia spadiceae,Meum athamanticum,108454
3567,NA,Festucetalia spadiceae,Arnica montana,83874
3567,NA,Festucetalia spadiceae,Hypochaeris maculata,103369
3567,NA,Festucetalia spadiceae,Hypochaeris uniflora,103383
3567,NA,Festucetalia spadiceae,Jasione laevis,104018
3567,NA,Festucetalia spadiceae,Phyteuma hemisphaericum,113381
3567,NA,Festucetalia spadiceae,Trifolium alpinum,127219
3567,NA,Festucetalia spadiceae,Ajuga pyramidalis,80988
3567,NA,Festucetalia spadiceae,Euphrasia minima,97772
3567,NA,Festucetalia spadiceae,Euphrasia minima subsp. minima,134428
3567,NA,Festucetalia spadiceae,Plantago alpina,113806
3567,NA,Festucetalia spadiceae,Luzula spicata,106859
3567,NA,Festucetalia spadiceae,Luzula spicata subsp. spicata,137520
3567,NA,Festucetalia spadiceae,Luzula sudetica,106861
3567,NA,Festucetalia spadiceae,Agrostis rupestris,80729
3567,NA,Festucetalia spadiceae,Bellardiochloa variegata,85705
3567,NA,Festucetalia spadiceae,Geum montanum,100208
3568,NA,Saginetalia piliferae,Cerastium soleirolii,90094
3568,NA,Saginetalia piliferae,Sagina pilifera,119817
3568,NA,Saginetalia piliferae,Plantago sarda,113951
3568,NA,Saginetalia piliferae,Luzula spicata,106859
3568,NA,Saginetalia piliferae,Luzula spicata subsp. italica,137516
3569,NA,Tamaricetalia africanae,Tamarix africana,125412
3569,NA,Tamaricetalia africanae,Tamarix canariensis,125416
3569,NA,Tamaricetalia africanae,Tamarix gallica,125426
3570,NA,Nerio oleandri-Viticetalia agni-casti,Tamarix africana,125412
3570,NA,Nerio oleandri-Viticetalia agni-casti,Nerium oleander,109584
3570,NA,Nerio oleandri-Viticetalia agni-casti,Vitex agnus-castus,129914
3571,NA,Erico tetralicis-Sphagnetalia papillosi,Narthecium ossifragum,109372
3571,NA,Erico tetralicis-Sphagnetalia papillosi,Erica tetralix,96695
3571,NA,Erico tetralicis-Sphagnetalia papillosi,Odontoschisma sphagni,6600
3571,NA,Erico tetralicis-Sphagnetalia papillosi,Trichophorum cespitosum,127193
3571,NA,Erico tetralicis-Sphagnetalia papillosi,Trichophorum cespitosum subsp. germanicum,141825
3571,NA,Erico tetralicis-Sphagnetalia papillosi,Sphagnum affine,6720
3571,NA,Erico tetralicis-Sphagnetalia papillosi,Sphagnum papillosum,6774
3572,NA,Elatino triandrae-Cyperetalia fusci,Limosella aquatica,106128
3572,NA,Elatino triandrae-Cyperetalia fusci,Lythrum tribracteatum,107125
3572,NA,Elatino triandrae-Cyperetalia fusci,Potentilla supina,115669
3573,NA,Deschampsietalia cespitosae,Inula britannica,103598
3573,NA,Deschampsietalia cespitosae,Myosotis laxa,109042
3573,NA,Deschampsietalia cespitosae,Myosotis laxa subsp. cespitosa,137914
3573,NA,Deschampsietalia cespitosae,Rorippa amphibia,117933
3573,NA,Deschampsietalia cespitosae,Rorippa sylvestris,117951
3573,NA,Deschampsietalia cespitosae,Gratiola officinalis,100576
3573,NA,Deschampsietalia cespitosae,Lythrum virgatum,107126
3573,NA,Deschampsietalia cespitosae,Carex vulpina,88952
3573,NA,Deschampsietalia cespitosae,Eleocharis palustris,95922
3573,NA,Deschampsietalia cespitosae,Eleocharis uniglumis,95933
3573,NA,Deschampsietalia cespitosae,Alopecurus geniculatus,81637
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Bellis perennis,85740
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Cirsium palustre,91382
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Rumex acetosa,119418
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Rumex acetosa subsp. acetosa,140321
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Trifolium dubium,127294
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Lotus pedunculatus,106698
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Juncus effusus,104173
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Anthoxanthum odoratum,82922
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Cynosurus cristatus,93860
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Dactylis glomerata,94207
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Dactylis glomerata subsp. glomerata,133652
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Festuca rubra,98512
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Lolium perenne,106499
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Phleum pratense,113221
3574,NA,Potentillo anserinae-Polygonetalia avicularis,Filipendula ulmaria,98717
3575,NA,Holoschoenetalia vulgaris,Dittrichia viscosa,95187
3575,NA,Holoschoenetalia vulgaris,Scirpoides holoschoenus,121673
3575,NA,Holoschoenetalia vulgaris,Cynodon dactylon,93803
3577,NA,Geranio purpurei-Cardaminetalia hirsutae,Torilis nodosa,126865
3577,NA,Geranio purpurei-Cardaminetalia hirsutae,Capsella rubella,87862
3577,NA,Geranio purpurei-Cardaminetalia hirsutae,Centranthus calcitrapae,89881
3577,NA,Geranio purpurei-Cardaminetalia hirsutae,Geranium purpureum,100132
3577,NA,Geranio purpurei-Cardaminetalia hirsutae,Mercurialis annua,108351
3577,NA,Geranio purpurei-Cardaminetalia hirsutae,Urtica urens,128298
3578,NA,Bromo sterilis-Cardaminetalia hirsutae,Myosotis arvensis,108996
3578,NA,Bromo sterilis-Cardaminetalia hirsutae,Cerastium glomeratum,90017
3578,NA,Bromo sterilis-Cardaminetalia hirsutae,Valerianella locusta,128476
3578,NA,Bromo sterilis-Cardaminetalia hirsutae,Galium aparine,99373
